window_length,min_distance,p5_distance,p10_distance,median_distance,mean_distance,std_distance,motif_density_p10,min_dist_per_point,p5_dist_per_point
5,0.007593678108098051,0.08598321097263746,0.10998182126137247,0.2080156297346832,0.20795056694901348,0.07440445169054916,0.09983201343892488,0.0033959960897918477,0.038452860931704635
10,0.4901123171742097,0.957753602270155,1.061235337004312,1.358678645971455,1.3432752032307744,0.2158752436434913,0.0999519461797213,0.15498712315733623,0.3028682820404702
15,1.326018933967076,1.8612692936014177,1.9868159843662532,2.395699961099287,2.364158866560482,0.2698470318251074,0.09983160933365408,0.3423766165340132,0.4805776651283689
20,1.9977303748640445,2.663093987692986,2.834117129768816,3.281102479174246,3.2377799608182154,0.29746854575665355,0.1001926782273603,0.446706091891214,0.5954859186952505
25,2.6293315355940576,3.379747891604097,3.593271380870443,4.041680218570266,4.00122261624179,0.31008947359628564,0.1000723414516518,0.5258663071188115,0.6759495783208194
30,3.454363186948752,4.0393477707722,4.2627146230727355,4.739949483287793,4.6877883206683375,0.32996964488493646,0.10019314340898117,0.6306775464357556,0.7374806305533803
35,4.040722932346502,4.64644453509005,4.855345726724732,5.360543127459257,5.309882733283318,0.342315682092477,0.10007251631617115,0.6830068356903468,0.785392473638284
40,4.581321818472153,5.224504632595015,5.409347368149423,5.935981129195401,5.8855363566752885,0.3519768667839476,0.10019361084220717,0.7243705820298232,0.826066714255071
45,5.046081371570626,5.799160161026705,5.94890539159144,6.487570737008296,6.440519603838169,0.35649743763709474,0.09983038526774897,0.7522253977884863,0.8644877554976226
50,5.542093296703475,6.294231801731094,6.45927050610135,7.009695557363406,6.957856405068876,0.35696895757652186,0.09995147986414361,0.7837703504135071,0.8901387978728155
55,6.301612055228026,6.780519254907864,6.95955778310387,7.516152725721813,7.454576603195166,0.35346748506500775,0.10007286859363615,0.8497091961862887,0.9142850298176493
60,6.664387353050408,7.302369440322312,7.468945573162141,7.974671229128854,7.922607613575603,0.3393070516842997,0.09995136186770429,0.8603687077013186,0.9427318410074096
65,7.002208424441132,7.7709331049184245,7.968303279657054,8.425226743016612,8.379830546922532,0.3375939086250013,0.10007304601899196,0.8685170634638754,0.9638656251790504
70,7.490637421731124,8.219835230633278,8.395432391950381,8.871383002388242,8.819347390623639,0.3330853827051971,0.09995124329595319,0.895302414860386,0.9824582231667667
75,7.6806030762549,8.617463844793269,8.810991203153874,9.287059646692569,9.239263358542766,0.32865443799971467,0.10007322431047108,0.8868796507228868,0.9950590141046521
80,8.250380138456896,9.013979694393806,9.189031960084657,9.697768244744811,9.642474935290737,0.33344263583421346,0.10019550342130987,0.9224205414901873,1.0077935672233664
85,8.589381525323208,9.402064974202368,9.573691926563377,10.10130099770484,10.03621375414853,0.34188622044463457,0.10007340347443112,0.9316492333337355,1.0197971296472357
90,9.195734234474578,9.777334258520748,9.934588635201681,10.471837364556576,10.416567844157736,0.3441684394155175,0.10019598236158746,0.9693154979508177,1.0306215233906375
95,9.648313392328745,10.142472562082585,10.309537779590737,10.85223829613687,10.786327418053808,0.3461551779642298,0.10007358351729213,0.989896067466257,1.0405957285314382
100,10.027083955953435,10.484812829536196,10.646373338667255,11.20984638701519,11.147595091878951,0.34561892553217444,0.10019646365422397,1.0027083955953435,1.0484812829536196
