window_length,min_distance,p5_distance,p10_distance,median_distance,mean_distance,std_distance,motif_density_p10,min_dist_per_point,p5_dist_per_point
5,0.020565741223992493,0.08644069982812586,0.1087193484534982,0.20174401226427877,0.20576905015057476,0.07573997235626126,0.10007199424046076,0.009197279076903389,0.03865745616766876
10,0.6015671028261612,0.9587448046040925,1.0703674878124685,1.3603601155686234,1.3479018391186708,0.2149593137008377,0.10019221528111485,0.19023222103593837,0.30318172774020197
15,1.3637559379071784,1.910115796533353,2.0179741345463222,2.3995848779045525,2.3723409159310433,0.26049552399335085,0.10007216742843397,0.35212026905373184,0.49318977795342606
20,1.8837160369051817,2.7169400057483917,2.8579668047634206,3.260874716760087,3.2342541533657947,0.28525965206457277,0.1001926782273603,0.42121171088264886,0.6075262543642073
25,2.909487668937671,3.4712461824296406,3.604852569551028,4.047042211716195,4.0024763376604895,0.29382870658387295,0.1000723414516518,0.5818975337875342,0.6942492364859281
30,3.5044763132886354,4.137411289397783,4.297364387117309,4.739713755670108,4.69633104461725,0.2957780003156872,0.10019314340898117,0.639826909676909,0.7553844976265669
35,4.052682458672478,4.808842284777482,4.936282765047477,5.3757223169970905,5.337785950290113,0.29912652852936533,0.09983079526226735,0.685028364602134,0.812842703459618
40,4.482513850274996,5.336577051412354,5.50118300159191,5.959890504655741,5.914982068161895,0.31001890098154555,0.0999515972894482,0.7087476705059984,0.8437869195724262
45,4.841334605762323,5.860144177815265,6.034287847115658,6.5055522003625805,6.456959883623458,0.32236210917412367,0.09983038526774897,0.7217035520204466,0.8735787159696364
50,5.114394648120289,6.360102969031457,6.523141944466753,7.025083896443425,6.968409392346437,0.3347334522594478,0.09995147986414361,0.7232846274700085,0.8994543876893676
55,5.52972380249618,6.78256438665564,6.997342152058122,7.5126172728323874,7.45460214381131,0.346639955451438,0.10007286859363615,0.7456278054205282,0.9145607953262632
60,5.7641762111043455,7.198640010422938,7.450638017109566,7.983724484172798,7.925195562882455,0.35907260392258433,0.10019455252918288,0.7441519490070699,0.9293404291903475
65,6.274164332881612,7.640890798185866,7.8477142426197535,8.448112767848732,8.377347372653885,0.3694531098873517,0.09982955928901875,0.7782143077980489,0.947735862178109
70,6.660263714846304,8.069239145685277,8.26551899915427,8.882929531705948,8.805911653059264,0.3784536441472858,0.10019502681618722,0.7960537737696071,0.9644585482484064
75,6.926043080419177,8.457234815519143,8.669475329142616,9.297861116508214,9.225830765870924,0.37967161202057115,0.10007322431047108,0.7997505673797912,0.9765573594679704
80,7.269455826295982,8.847056691498805,9.11679851714382,9.705065164709257,9.626651636056003,0.3755898912551432,0.10019550342130987,0.8127498693514859,0.9891310081492857
85,7.629514409493155,9.240136492199623,9.527935408437274,10.094319550443432,10.021510116242812,0.3723676421870466,0.09982872522632738,0.8275370268926923,1.002233519779868
90,8.112116631524232,9.656061729069362,9.957227635145097,10.48737814232975,10.40557690850933,0.3692766826222662,0.10019598236158746,0.8550921733516481,1.0178382763680967
95,8.41754749871344,10.064824040378163,10.31482717069525,10.847896791984285,10.778816700559108,0.37156049305407407,0.10007358351729213,0.8636221511328526,1.032629158297423
100,8.62781367246681,10.429948395161018,10.649481115479691,11.203292278905213,11.143180379879693,0.37354526205884453,0.10019646365422397,0.8627813672466811,1.0429948395161017
