window_length,min_distance,p5_distance,p10_distance,median_distance,mean_distance,std_distance,motif_density_p10,min_dist_per_point,p5_dist_per_point
5,0.007493084476189305,0.09076849041876787,0.11186909664780752,0.2097227806142421,0.2095178121642945,0.07560126096829313,0.09983201343892488,0.003351009249981538,0.04059290295828066
10,0.49446545284486965,0.9267919596483838,1.0430000216868132,1.373757748222248,1.3459193694055718,0.2200079421688159,0.10019221528111485,0.15636370552563725,0.2930773509619758
15,1.0439414748634983,1.8820540868865854,1.9896103082182286,2.389413689014791,2.356693155743851,0.26579191700458527,0.09983160933365408,0.26954452977076915,0.48594427567822346
20,2.033476962543873,2.701944248187987,2.8368032566975283,3.253104928229882,3.2176177379375455,0.27784854335099973,0.1001926782273603,0.4546992718927893,0.6041731010362902
25,2.6944648234913977,3.451187948634378,3.5868910438623285,3.976591273342055,3.9607407961181695,0.28906393793235163,0.1000723414516518,0.5388929646982795,0.6902375897268757
30,3.238555046551106,4.085500878065747,4.225637470974557,4.682994012277957,4.642930641107392,0.3041450096930429,0.09995171414775471,0.591276550906078,0.7459069965412576
35,3.678342672518895,4.718741481803468,4.869231935025915,5.302059796810443,5.274498843834307,0.3053605572034676,0.10007251631617115,0.6217533920057613,0.7976128880620291
40,3.931664284452566,5.277400042665783,5.458977355362727,5.8875206516526415,5.856328924570931,0.3193365302990985,0.10019361084220717,0.6216507067003123,0.8344302129346828
45,4.498423827464297,5.815310632524128,5.995559484496753,6.452009765619734,6.407115095406765,0.33127705007725217,0.10007269202810759,0.6705854313209969,0.8668953256400833
50,4.891487825437213,6.253425900984174,6.477229954251352,6.979746565121731,6.925463723733864,0.35149755018266354,0.10019408054342552,0.6917608422916185,0.884367972046701
55,5.309644149941559,6.7281004909269555,6.958576415045252,7.484896614538936,7.416962071137715,0.3568810333228058,0.09982997328151566,0.7159522711238714,0.9072168851243649
60,5.962398690196325,7.158913517310574,7.421833700674984,7.9397926491851525,7.877144116755881,0.36478725145661656,0.09995136186770429,0.7697423610193094,0.9242117609827671
65,6.394677998439259,7.60095666413475,7.82955409931445,8.395606436030059,8.322932743127737,0.38111583761011963,0.10007304601899196,0.7931621883198643,0.9427826424600291
70,6.830915762181231,8.050959859464722,8.217964228129073,8.841279494420084,8.752248889715137,0.39684014076389146,0.10019502681618722,0.8164505946912263,0.9622737556635045
75,7.181797041243596,8.39841164012392,8.6142472790901,9.262610192681121,9.161779107958301,0.408921644522638,0.0998291432755675,0.8292824910054495,0.9697650442381662
80,7.47998677483712,8.747011406684539,8.980236884624084,9.649159871766404,9.56014858263437,0.414426756323486,0.10019550342130987,0.8362879449667606,0.9779456052656343
85,7.738437512865014,9.138936245770838,9.357598701840535,10.042020562644785,9.947474292219301,0.41871980793026603,0.09982872522632738,0.8393513962334352,0.9912568118852894
90,7.971104946209521,9.511802417168076,9.718604454145563,10.420880180683056,10.324372226293045,0.4244796105794239,0.10019598236158746,0.8402282366085346,1.002632009724873
95,8.174192241064446,9.861850838217535,10.084159501521103,10.796823781861749,10.69151809917383,0.43449139780680507,0.10007358351729213,0.8386544285114554,1.0118045471504022
100,8.446791757416365,10.180861897953445,10.410964417443537,11.161856391497155,11.048525206938024,0.44338476164884016,0.09995088408644401,0.8446791757416365,1.0180861897953446
