Year,N_Test,Baseline_LGBM_Acc,BORF_LGBM_Acc,Combined_LGBM_Acc,BORF_Ridge_Acc
2016,252,0.5833333333333334,0.5277777777777778,0.5595238095238095,0.5079365079365079
2017,251,0.5537848605577689,0.5697211155378487,0.6055776892430279,0.5258964143426295
2018,251,0.545816733067729,0.5418326693227091,0.5418326693227091,0.5378486055776892
2019,252,0.5396825396825397,0.5833333333333334,0.5198412698412699,0.5476190476190477
2020,253,0.541501976284585,0.525691699604743,0.5652173913043478,0.5849802371541502
2021,252,0.5714285714285714,0.5992063492063492,0.623015873015873,0.503968253968254
2022,251,0.43824701195219123,0.4302788844621514,0.4581673306772908,0.5338645418326693
2023,250,0.548,0.556,0.544,0.504
2024,252,0.5753968253968254,0.5952380952380952,0.5992063492063492,0.5515873015873016
2025,250,0.552,0.572,0.564,0.54
